名前,用途,URL,対象,備考
サービスLP,営業・申し込みページ,https://kato-insta-support.vercel.app,見込み客,料金表・Stripeボタン・お問い合わせフォーム（Formspree）
デモ版ジェネレーター,同業者・営業デモ用,https://kato-insta-support.vercel.app/demo.html,見込み客・同業者,サンプル居酒屋・汎用デモ・季節1〜12月
ジェネレーター（johkoya専用）,投稿文自動生成,https://kato-insta-support.vercel.app/gen.html,上古屋,8種類の投稿パターン対応・季節1〜12月
お店情報入力フォーム,クライアント向けオンボーディング,https://kato-insta-support.vercel.app/setup.html,クライアント,店舗名・インスタ・サイトURL・メール入力→Formspree通知
制作アンケート（管理者用）,ジェネレーター作成・デプロイ,https://kato-insta-support.vercel.app/onboarding.html,加藤さんのみ,クライアントのInstagram解析→ジェネ自動生成・再デプロイ機能あり
営業キット,DM文・投稿テンプレ集,https://kato-insta-support.vercel.app/sales_kit.html,加藤さんのみ,Section08（有料転換メール）・Section09（返信・納品メール）追加済
フィードバックフォーム,モニター感想収集,https://kato-insta-support.vercel.app/feedback.html,クライアント,月次フィードバック用
クライアント管理,試用期間・契約管理,ローカルのみ（clients.html）,加藤さんのみ,残枠・MRR・期限アラート機能あり
旅館ジェネレーター,投稿文自動生成（宿泊）,https://yamanone-ryokan-gen-8068.vercel.app,将来用,英語翻訳機能あり・現在は非公開
GitHub,ソースコード管理,https://github.com/recorder11c-cmd/instagram-generator,加藤さんのみ,mainブランチで運用
